image,pred,gt,n_raw,dropped_border,duplicates_removed,n_tiles,latency_infer_ms,latency_merge_ms,session,arm
20150919_174151_image1.png,7,95,7,0,0,1,17.137999150902033,0.31619996298104525,20150919_174151,A_full640
20150919_174151_image101.png,12,102,12,0,0,1,14.430400354787707,0.27060002321377397,20150919_174151,A_full640
20150919_174151_image106.png,9,99,9,0,0,1,14.82109959796071,0.19729998894035816,20150919_174151,A_full640
20150919_174151_image11.png,7,105,7,0,0,1,14.247700037434697,0.15320000238716602,20150919_174151,A_full640
20150919_174151_image111.png,7,114,7,0,0,1,15.856099985539913,0.16350002260878682,20150919_174151,A_full640
20150919_174151_image116.png,4,106,4,0,0,1,13.6895000198856,0.09929999941959977,20150919_174151,A_full640
20150919_174151_image121.png,4,117,4,0,0,1,15.768400373868644,0.08790002902969718,20150919_174151,A_full640
20150919_174151_image126.png,8,107,8,0,0,1,14.55249968264252,0.18590001855045557,20150919_174151,A_full640
20150919_174151_image131.png,12,111,12,0,0,1,14.842800051905215,0.47910003922879696,20150919_174151,A_full640
20150919_174151_image136.png,19,121,19,0,0,1,14.81440031901002,0.5133000086061656,20150919_174151,A_full640
20150919_174151_image141.png,13,119,13,0,0,1,14.21970003284514,0.33980002626776695,20150919_174151,A_full640
20150919_174151_image146.png,13,113,13,0,0,1,13.11489993520081,0.6279000081121922,20150919_174151,A_full640
20150919_174151_image151.png,14,118,14,0,0,1,14.179699682630599,0.40059996536001563,20150919_174151,A_full640
20150919_174151_image156.png,16,114,16,0,0,1,13.773200208321214,0.5565999890677631,20150919_174151,A_full640
20150919_174151_image16.png,9,96,9,0,0,1,14.963000074028969,0.3562000347301364,20150919_174151,A_full640
20150919_174151_image161.png,15,123,15,0,0,1,16.070600286126137,0.4531000158749521,20150919_174151,A_full640
20150919_174151_image166.png,20,117,20,0,0,1,13.130199896171689,0.7274000090546906,20150919_174151,A_full640
20150919_174151_image171.png,19,116,19,0,0,1,14.301599552854896,0.5012000328861177,20150919_174151,A_full640
20150919_174151_image176.png,19,104,19,0,0,1,14.265299961902201,0.6750000175088644,20150919_174151,A_full640
20150919_174151_image181.png,21,101,21,0,0,1,14.618100242689252,0.7685000309720635,20150919_174151,A_full640
20150919_174151_image186.png,28,100,28,0,0,1,14.17259997408837,1.401500019710511,20150919_174151,A_full640
20150919_174151_image191.png,20,100,21,0,1,1,14.472200026735663,1.186200010124594,20150919_174151,A_full640
20150919_174151_image196.png,25,98,26,0,1,1,18.39719997253269,0.8465999853797257,20150919_174151,A_full640
20150919_174151_image201.png,16,96,16,0,0,1,16.938300327397883,0.4385999636724591,20150919_174151,A_full640
20150919_174151_image206.png,19,98,19,0,0,1,15.036000433377922,0.7070000283420086,20150919_174151,A_full640
20150919_174151_image21.png,10,100,10,0,0,1,18.658000195398927,0.6445999606512487,20150919_174151,A_full640
20150919_174151_image211.png,15,93,15,0,0,1,15.619000224396586,0.7912999717518687,20150919_174151,A_full640
20150919_174151_image216.png,12,94,12,0,0,1,14.132100286893547,0.7822000188753009,20150919_174151,A_full640
20150919_174151_image221.png,15,88,15,0,0,1,15.396800108253956,0.5956999957561493,20150919_174151,A_full640
20150919_174151_image226.png,18,98,18,0,0,1,19.79989929497242,0.5106999888084829,20150919_174151,A_full640
20150919_174151_image231.png,22,101,22,0,0,1,13.951600125990808,0.6762999692000449,20150919_174151,A_full640
20150919_174151_image236.png,32,97,32,0,0,1,14.248600179329515,1.8507999484427273,20150919_174151,A_full640
20150919_174151_image241.png,24,97,24,0,0,1,13.67250039987266,0.9590000263415277,20150919_174151,A_full640
20150919_174151_image26.png,16,102,16,0,0,1,14.158299762755632,0.41969999438151717,20150919_174151,A_full640
20150919_174151_image286.png,12,94,12,0,0,1,14.806399531662464,0.34060003235936165,20150919_174151,A_full640
20150919_174151_image301.png,15,109,15,0,0,1,15.151000204496086,0.4341999883763492,20150919_174151,A_full640
20150919_174151_image31.png,5,99,5,0,0,1,13.716899631544948,0.17800001660361886,20150919_174151,A_full640
20150919_174151_image36.png,13,94,13,0,0,1,13.685600032098591,0.43709995225071907,20150919_174151,A_full640
20150919_174151_image361.png,18,73,18,0,0,1,13.848500441759825,0.486500037368387,20150919_174151,A_full640
20150919_174151_image381.png,11,85,11,0,0,1,13.247199771925807,0.43429998913779855,20150919_174151,A_full640
20150919_174151_image41.png,15,99,15,0,0,1,13.624100031331182,0.4434000002220273,20150919_174151,A_full640
20150919_174151_image411.png,7,84,7,0,0,1,13.58200023882091,0.30649994732812047,20150919_174151,A_full640
20150919_174151_image431.png,15,94,15,0,0,1,13.51960008777678,0.5172000383026898,20150919_174151,A_full640
20150919_174151_image46.png,15,97,15,0,0,1,14.073899720795453,0.8945000008679926,20150919_174151,A_full640
20150919_174151_image471.png,4,92,4,0,0,1,13.96970015950501,0.4094999749213457,20150919_174151,A_full640
20150919_174151_image496.png,3,81,3,0,0,1,16.208100778982043,0.27009996119886637,20150919_174151,A_full640
20150919_174151_image51.png,21,116,21,0,0,1,14.10649958346039,1.1737000313587487,20150919_174151,A_full640
20150919_174151_image56.png,22,108,22,0,0,1,13.983600384555757,0.651500013191253,20150919_174151,A_full640
20150919_174151_image6.png,6,95,6,0,0,1,15.203100128099322,0.258800049778074,20150919_174151,A_full640
20150919_174151_image601.png,14,78,14,0,0,1,14.526900194585323,0.5933999782428145,20150919_174151,A_full640
20150919_174151_image61.png,22,107,22,0,0,1,19.48859926685691,0.609199982136488,20150919_174151,A_full640
20150919_174151_image621.png,17,87,17,0,0,1,13.86290036700666,0.5728999967686832,20150919_174151,A_full640
20150919_174151_image641.png,20,89,21,0,1,1,13.423400368541479,0.5708999815396965,20150919_174151,A_full640
20150919_174151_image656.png,23,61,23,0,0,1,13.119899669662118,0.5874000489711761,20150919_174151,A_full640
20150919_174151_image66.png,23,108,23,0,0,1,14.357699977234006,0.6643999950028956,20150919_174151,A_full640
